iter	F1	Logloss
0	0.7455621302	0.5325325712
1	0.7276507277	0.4802585392
2	0.7276507277	0.4538370995
3	0.7381443299	0.4176142619
4	0.7433264887	0.4129778907
5	0.7433264887	0.404028421
6	0.78125	0.364081717
7	0.7912524851	0.3525034906
8	0.7984189723	0.3360817213
9	0.796039604	0.33595814
10	0.7976653696	0.3300841594
11	0.7992202729	0.3299714232
12	0.8039215686	0.3272216651
13	0.8226120858	0.3083913635
14	0.8346456693	0.2938463521
15	0.8346456693	0.2937053093
16	0.8385826772	0.2857868159
17	0.8458498024	0.2751305129
18	0.8458498024	0.274738083
19	0.8469184891	0.2708994808
20	0.8560157791	0.2599112137
21	0.8565815324	0.2564801495
22	0.8599605523	0.2451277063
23	0.8622047244	0.2429561838
24	0.8661417323	0.242405037
25	0.8671875	0.2297809718
26	0.8671875	0.2295137074
27	0.8693957115	0.2292757003
28	0.8693957115	0.22902814
29	0.8875968992	0.1992287053
30	0.8888888889	0.194168227
31	0.8849902534	0.1882687318
32	0.8970873786	0.1712440163
33	0.9076923077	0.165078321
34	0.9111969112	0.1551729183
35	0.9111969112	0.1550815459
36	0.9192307692	0.1439643461
37	0.9192307692	0.1353961354
38	0.9251439539	0.1252377282
39	0.9351145038	0.1143768827
40	0.9411764706	0.105174726
41	0.9451795841	0.1000069562
42	0.953271028	0.09459272386
43	0.9589552239	0.09260059036
44	0.9626865672	0.08938609235
45	0.9664179104	0.08589570395
46	0.9683426443	0.08142680369
47	0.9721706865	0.0768699326
48	0.9778597786	0.07253412597
49	0.9778597786	0.06826028323
50	0.9778597786	0.06642654196
51	0.9797421731	0.06347552133
52	0.9798165138	0.06079120747
53	0.9798165138	0.05854114578
54	0.9834862385	0.05520509255
55	0.9834862385	0.05356380329
56	0.9834862385	0.05092187533
57	0.9871559633	0.04887022015
58	0.989010989	0.04550548643
59	0.9871559633	0.04216302818
60	0.9908592322	0.03829468532
61	0.9926739927	0.03736408139
62	0.9926739927	0.03414525561
63	0.9926739927	0.03263933625
64	0.9926739927	0.03156282087
65	0.9945155393	0.03071754875
66	0.9945155393	0.03019567614
67	0.9927007299	0.02895548351
68	0.9927007299	0.02827861155
69	0.9945155393	0.02769345914
70	0.9945155393	0.02665713952
71	0.996350365	0.02315383959
72	0.996350365	0.02206545563
73	0.996350365	0.02172388093
74	0.996350365	0.02069434386
75	0.996350365	0.02028517155
76	0.996350365	0.01885011383
77	0.996350365	0.01698557194
78	0.996350365	0.01548309672
79	0.9945155393	0.01485805288
80	0.996350365	0.01431034105
81	0.996350365	0.0141167259
82	0.996350365	0.0137762075
83	0.996350365	0.01355389761
84	0.996350365	0.0131332667
85	0.996350365	0.01296196216
86	0.996350365	0.01265243246
87	0.996350365	0.01238120624
88	0.996350365	0.01187029066
89	0.996350365	0.01147937319
90	0.996350365	0.01122666757
91	0.9981785064	0.01052220103
92	0.9981785064	0.01024563723
93	0.9981785064	0.009938995916
94	0.9981785064	0.009565902901
95	0.9981785064	0.009064254422
96	0.9981785064	0.008766180451
97	0.9981785064	0.008503862527
98	0.9981785064	0.008435575869
99	0.9981785064	0.008068941287
100	0.9981785064	0.007748686298
101	0.9981785064	0.007516730358
102	0.9981785064	0.007490342971
103	0.9981785064	0.007357336336
104	0.9981785064	0.007203645681
105	0.9981785064	0.006935451009
106	0.9981785064	0.006447852327
107	0.9981785064	0.006248595999
108	0.9981785064	0.006211471953
109	0.9981785064	0.006166353742
110	0.9981785064	0.005949016578
111	0.9981785064	0.005749897995
112	0.9981785064	0.00561384154
113	0.9981785064	0.005455900985
114	0.9981785064	0.005191840623
115	0.9981785064	0.005172832479
116	0.9981785064	0.005062108874
117	0.9981785064	0.004994499795
118	0.9981785064	0.004978732097
119	0.9981785064	0.004898130403
120	0.9981785064	0.004850389612
121	0.9981785064	0.004816529037
122	0.9981785064	0.004773730564
123	0.9981785064	0.004636980928
124	0.9981785064	0.004584878356
125	0.9981785064	0.004584878356
126	0.9981785064	0.004572609741
127	0.9981785064	0.004496539176
128	0.9981785064	0.004477924092
129	0.9981785064	0.00441615521
130	0.9981785064	0.004371024525
131	0.9981785064	0.004285607984
132	0.9981785064	0.004269515739
133	0.9981785064	0.00399006451
134	0.9981785064	0.00399006451
135	0.9981785064	0.003968774905
136	0.9981785064	0.003968774905
137	0.9981785064	0.003735922789
138	0.9981785064	0.003095149355
139	0.9981785064	0.003050435853
140	0.9981785064	0.003011448235
141	0.9981785064	0.002969260221
