iter	F1	Logloss
0	0.7508896797	0.5693094158
1	0.7677543186	0.4735391555
2	0.8	0.3868887926
3	0.8022813688	0.3673645579
4	0.8015267176	0.3660365582
5	0.8083491461	0.3414078926
6	0.8038095238	0.3277535051
7	0.8212927757	0.3134111074
8	0.8212927757	0.3082620828
9	0.8178294574	0.2965729583
10	0.8352941176	0.2858324147
11	0.828685259	0.2857434208
12	0.832	0.2821633181
13	0.832	0.2821499444
14	0.832	0.2819172848
15	0.8383233533	0.2795710912
16	0.8383233533	0.2697620961
17	0.836	0.2652411863
18	0.8469184891	0.2556644281
19	0.8423153693	0.2550306164
20	0.8492063492	0.2526130306
21	0.8508946322	0.2518716241
22	0.8554455446	0.2473313019
23	0.8571428571	0.2446562877
24	0.8594059406	0.2442503724
25	0.8628230616	0.2408324133
26	0.8673267327	0.2395474179
27	0.87890625	0.2262911992
28	0.8923679061	0.2135553001
29	0.8923679061	0.2121009614
30	0.8966861598	0.2006623448
31	0.9001956947	0.1924572867
32	0.90234375	0.1916209741
33	0.90234375	0.1836748958
34	0.9150579151	0.1700121304
35	0.9171483622	0.1655984887
36	0.927480916	0.143952082
37	0.927480916	0.1370660403
38	0.9295238095	0.1290533351
39	0.9373814042	0.123189792
40	0.9489603025	0.1123065291
41	0.9509433962	0.1075470192
42	0.9547169811	0.0981075411
43	0.9586466165	0.08786366374
44	0.9662921348	0.08380442096
45	0.9701492537	0.07682823931
46	0.9720670391	0.07418677615
47	0.9720670391	0.07169994703
48	0.973880597	0.06667992912
49	0.9776951673	0.06087777969
50	0.9795918367	0.05879273111
51	0.9795918367	0.0569493073
52	0.9795918367	0.05284331288
53	0.9795918367	0.05064307568
54	0.9795918367	0.0484231552
55	0.9814814815	0.04591784909
56	0.9814814815	0.04376072749
57	0.9833641405	0.04180800056
58	0.9852398524	0.03914214796
59	0.9871086556	0.03361981597
60	0.9871086556	0.03189620153
61	0.9889298893	0.03037768647
62	0.9907578558	0.02777998192
63	0.9907578558	0.02696908574
64	0.9907578558	0.02562316322
65	0.9907578558	0.02488731083
66	0.9907578558	0.02420006455
67	0.9907578558	0.02283572497
68	0.9907578558	0.02116540485
69	0.9907578558	0.02042620353
70	0.9907578558	0.01975458474
71	0.9926199262	0.01842190872
72	0.9926199262	0.01787572726
73	0.9926470588	0.0173559384
74	0.9926199262	0.0170658823
75	0.9926199262	0.01688037328
76	0.9926199262	0.01624866547
77	0.9926470588	0.01611553142
78	0.9926199262	0.0155876344
79	0.9926199262	0.01518515996
80	0.9926199262	0.01501975956
81	0.9926199262	0.01485481579
82	0.9926199262	0.01443916286
83	0.9926199262	0.01415995921
84	0.9926199262	0.01402001631
85	0.9926199262	0.0136573776
86	0.9926199262	0.01345638861
87	0.9926199262	0.01283972655
88	0.9926199262	0.0122696552
89	0.9926199262	0.01221043478
90	0.9926199262	0.01209681289
91	0.9926199262	0.01170220003
92	0.9926199262	0.01163250053
93	0.9926199262	0.01154103683
94	0.9926199262	0.01142281874
95	0.9926199262	0.01129791732
96	0.9926199262	0.01119719559
97	0.9926199262	0.01117011995
98	0.9926199262	0.01114583032
99	0.9926199262	0.0110429134
100	0.9926199262	0.01094700913
101	0.9926199262	0.01083432594
102	0.9926199262	0.0107680543
103	0.9926199262	0.01062174466
104	0.9926199262	0.01059135298
105	0.9926199262	0.01038405498
106	0.9926199262	0.01037292153
107	0.9926199262	0.01020597097
108	0.9926199262	0.01014022827
109	0.9926199262	0.01011644315
110	0.9926199262	0.01001152661
111	0.9926199262	0.009898940847
112	0.9926199262	0.009861366785
113	0.9926199262	0.009846803172
114	0.9926199262	0.009794860724
115	0.9926199262	0.009787259719
116	0.9926199262	0.009736701015
117	0.9926199262	0.009725123
118	0.9926199262	0.009690706745
119	0.9926199262	0.009673584253
120	0.9926199262	0.009636502463
121	0.9926199262	0.009620296343
122	0.9926199262	0.009608277305
123	0.9926199262	0.009608277305
124	0.9926470588	0.009200915467
125	0.9926470588	0.009182118568
126	0.9926470588	0.009182115341
127	0.9926470588	0.009182115341
128	0.9926470588	0.009182115341
129	0.9926199262	0.009164213936
130	0.9926199262	0.009127582284
131	0.9926199262	0.009127582284
132	0.9926199262	0.00911193699
133	0.9926199262	0.00911193699
134	0.9926199262	0.00908669733
135	0.9926199262	0.009066097355
136	0.9926199262	0.009046582915
137	0.9926470588	0.008986598386
138	0.9926470588	0.008959695381
139	0.9926470588	0.008946831854
140	0.9926470588	0.008946831854
141	0.9926470588	0.008946831854
142	0.9926470588	0.008877095944
143	0.9926470588	0.008865290968
144	0.9926470588	0.008865290968
145	0.9926470588	0.008844131732
146	0.9926470588	0.008844122766
147	0.9926199262	0.00880930158
148	0.9926199262	0.008708224721
149	0.9926470588	0.008693783201
150	0.9926470588	0.008693783201
151	0.9926470588	0.008666989261
152	0.9926470588	0.008653277201
153	0.9926470588	0.008653274464
154	0.9926470588	0.008653274464
155	0.9926470588	0.008653274464
156	0.9926470588	0.008653274464
157	0.9926470588	0.008653247599
158	0.9926470588	0.008653247599
159	0.9926470588	0.008653247599
160	0.9926470588	0.008653220777
161	0.9926470588	0.008653216683
162	0.9926470588	0.008653203544
163	0.9926470588	0.008653176758
164	0.9926470588	0.008653176758
165	0.9926470588	0.008653152331
166	0.9926470588	0.008653152331
167	0.9926470588	0.008653152331
168	0.9926470588	0.008653138964
169	0.9926470588	0.008653138964
170	0.9926470588	0.008653138964
171	0.9926470588	0.008653138964
172	0.9926470588	0.008631489151
173	0.9926470588	0.008631489151
174	0.9926470588	0.008631487448
175	0.9926470588	0.008631487448
176	0.9926470588	0.008631485747
177	0.9926470588	0.008631485747
178	0.9926470588	0.008631483959
179	0.9926470588	0.008631483959
180	0.9926470588	0.008419778019
181	0.9926470588	0.008419759425
182	0.9926470588	0.008419759425
183	0.9926470588	0.008419752069
184	0.9926470588	0.008419752069
185	0.9926470588	0.008419752069
186	0.9926470588	0.008419752069
187	0.9926470588	0.008285930788
188	0.9926470588	0.008285930788
189	0.9926470588	0.008285927819
190	0.9926470588	0.008285927819
191	0.9926470588	0.008285927819
192	0.9926470588	0.008226836383
