iter	F1	Logloss
0	0.7123809524	0.6082909931
1	0.7123809524	0.5264654888
2	0.7231638418	0.4673153733
3	0.7437379576	0.4297854918
4	0.7471264368	0.4138311551
5	0.7595419847	0.3903056277
6	0.7741935484	0.3758218854
7	0.7900763359	0.349999641
8	0.7977099237	0.3387254895
9	0.7977099237	0.3387205089
10	0.7984496124	0.3344112992
11	0.7969052224	0.3331760235
12	0.8007736944	0.3316308911
13	0.8185328185	0.3207004535
14	0.8239845261	0.3140071568
15	0.8323699422	0.3068264739
16	0.8365019011	0.3039390758
17	0.8380952381	0.3037443857
18	0.8387096774	0.3030651189
19	0.8468809074	0.3026988028
20	0.8441064639	0.295831754
21	0.8495238095	0.2846808063
22	0.8489483748	0.2805091043
23	0.8625954198	0.2660816646
24	0.8625954198	0.2660738402
25	0.860952381	0.2552272127
26	0.8631178707	0.247327524
27	0.8652751423	0.2413144598
28	0.8752399232	0.235267818
29	0.879541109	0.2260024416
30	0.8897485493	0.2044928312
31	0.901734104	0.1888672934
32	0.9013539652	0.187391406
33	0.9052224371	0.1814023029
34	0.9069767442	0.1674492405
35	0.9069767442	0.1638166947
36	0.9126213592	0.156675578
37	0.912959381	0.1447966406
38	0.912959381	0.1424346137
39	0.9171483622	0.1347477641
40	0.9289827255	0.1250218989
41	0.9310344828	0.1192319976
42	0.9389312977	0.1123749298
43	0.946969697	0.100166334
44	0.9509433962	0.09633489333
45	0.9547169811	0.09156064748
46	0.9586466165	0.08193589088
47	0.9588014981	0.07744364273
48	0.9608938547	0.07141864867
49	0.9665427509	0.06903619542
50	0.9665427509	0.06682960337
51	0.9721706865	0.06179099738
52	0.9758812616	0.05786582525
53	0.9777777778	0.05143494805
54	0.9777777778	0.05093960981
55	0.9796672828	0.04751016077
56	0.9815498155	0.04631029888
57	0.9852941176	0.04192926404
58	0.9852941176	0.03996839857
59	0.9852941176	0.03757317859
60	0.9871559633	0.03665012464
61	0.9871559633	0.0338793247
62	0.989010989	0.03163038409
63	0.989010989	0.03120708599
64	0.989010989	0.02984236338
65	0.989010989	0.02838237945
66	0.989010989	0.02783494669
67	0.989010989	0.02714439708
68	0.989010989	0.02546474238
69	0.9926739927	0.02329066763
70	0.9926739927	0.02156800663
71	0.9926739927	0.02089395085
72	0.9926739927	0.01996134571
73	0.9926739927	0.01919654217
74	0.9926739927	0.0187629214
75	0.9926739927	0.01735587333
76	0.9945155393	0.0162394303
77	0.9945155393	0.01589162652
78	0.9981718464	0.01500409155
79	0.9981718464	0.01467990939
80	0.9981718464	0.01410598948
81	0.9981718464	0.01289809628
82	0.9981718464	0.0124159505
83	0.9981718464	0.01099489019
84	0.9981718464	0.0104950565
85	0.9981718464	0.01023246842
86	0.9981718464	0.01006265299
87	0.9981718464	0.009338104521
88	0.9981718464	0.008973701192
89	0.9981718464	0.008799051488
90	0.9981718464	0.008418574269
91	0.9981718464	0.00828666622
92	0.9981718464	0.008262969854
93	0.9981718464	0.00804730295
94	0.9981718464	0.007716024284
95	0.9981718464	0.007642580411
96	0.9981718464	0.007336266829
97	0.9981718464	0.007093059661
98	0.9981718464	0.007042640507
99	0.9981718464	0.006755763103
100	0.9981718464	0.006725799505
101	0.9981718464	0.006579042455
102	0.9981718464	0.006498969537
103	0.9981718464	0.006096438134
104	0.9981718464	0.005966597482
105	0.9981718464	0.00590330433
106	0.9981718464	0.005808999317
107	0.9981718464	0.005752677697
108	0.9981718464	0.005656533897
109	0.9981718464	0.005483607864
110	0.9981718464	0.00540411287
111	0.9981718464	0.005375646777
112	0.9981718464	0.004745653377
113	0.9981718464	0.004626256033
114	0.9981718464	0.004384085184
115	0.9981718464	0.004342714758
116	0.9981718464	0.004301247255
117	0.9981718464	0.004232437018
118	0.9981718464	0.004206756247
119	0.9981718464	0.004180262335
120	0.9981718464	0.004170288483
121	0.9981718464	0.004142647017
122	0.9981718464	0.00397074034
123	0.9981718464	0.003970695224
124	0.9981718464	0.003822470158
125	0.9981718464	0.003781967911
126	0.9981718464	0.003719462307
127	0.9981718464	0.003653319268
128	0.9981718464	0.003510745494
129	0.9981718464	0.003510745494
130	0.9981718464	0.003485455257
131	0.9981718464	0.003470733117
132	0.9981718464	0.003426190224
133	0.9981718464	0.003386461904
134	0.9981718464	0.00334433767
135	0.9981718464	0.003319716616
136	0.9981718464	0.00327086816
137	0.9981718464	0.003172698229
138	0.9981718464	0.003172698229
139	0.9981718464	0.003124516497
140	0.9981718464	0.003071674727
141	0.9981718464	0.003055704822
142	0.9981718464	0.003055704822
143	0.9981718464	0.003038914398
144	0.9981718464	0.003016562754
145	0.9981718464	0.003016562754
146	0.9981718464	0.003016562754
147	0.9981718464	0.002995470131
148	0.9981718464	0.002978879826
149	0.9981718464	0.002978879826
150	0.9981718464	0.002978875895
151	0.9981718464	0.002978875895
152	0.9981718464	0.00275256173
153	0.9981718464	0.002714476101
154	0.9981718464	0.002714466771
155	0.9981718464	0.002714466771
156	0.9981718464	0.002692056031
157	0.9981718464	0.002692042532
158	0.9981718464	0.002692042532
159	0.9981718464	0.002572814381
160	0.9981718464	0.002572814381
161	0.9981718464	0.002572814381
162	0.9981718464	0.002572814381
163	0.9981718464	0.002543379911
164	0.9981718464	0.002525902879
165	0.9981718464	0.002525902879
166	0.9981718464	0.002525893308
167	0.9981718464	0.002501435205
168	0.9981718464	0.002501403092
169	0.9981718464	0.002501403092
170	0.9981718464	0.002472811322
171	0.9981718464	0.002472803284
172	0.9981718464	0.002464481372
173	0.9981718464	0.002464477221
174	0.9981718464	0.002425897123
175	0.9981718464	0.002425897123
176	0.9981718464	0.002425888154
177	0.9981718464	0.002404225851
178	0.9981718464	0.002404225851
179	0.9981718464	0.0023581562
180	0.9981718464	0.0023581562
181	0.9981718464	0.002358151799
182	0.9981718464	0.002327261643
183	0.9981718464	0.002327256603
184	0.9981718464	0.002327256603
185	0.9981718464	0.002327253785
186	0.9981718464	0.002327249411
187	0.9981718464	0.00232724504
188	0.9981718464	0.00232724504
189	0.9981718464	0.002327241854
190	0.9981718464	0.002327241854
191	0.9981718464	0.002327236078
192	0.9981718464	0.002327236078
