iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
17,0.7355646405157461,0.061610670940691316,0.8419760210803687,0.004577777168212225,0.5124023708093949,0.12672040265990567,0.2766473743235155,0.015563236176246933
18,0.7309067096575586,0.06805880159450957,0.8442826067583136,0.003222816079338635,0.5203264367028915,0.14318092206538433,0.2741864117206843,0.017628651765116958
19,0.732747131607957,0.06938748381665082,0.8449459890415281,0.0024139085526405546,0.5224753792549005,0.14857747357356088,0.27259892813238074,0.017915707855565267
20,0.743631210335271,0.07152842790933536,0.8513544978552895,0.0057198558189678365,0.5257393958608326,0.14906928659587407,0.26757318883587006,0.016565989977884665
21,0.743631210335271,0.07152842790933536,0.8536824250428792,0.0036904512841728215,0.5267130566622592,0.14932513045128604,0.2643287900238286,0.012582744510725882
22,0.7406743183899089,0.07019983841195813,0.8547120406325934,0.00404377463392991,0.5390960326291375,0.13887483758722924,0.25651139816005875,0.014672927334056191
23,0.7249497647542303,0.062411579555780236,0.8594676571453915,0.002718483524370653,0.5457310050576986,0.13807610092028436,0.25050874795383204,0.009982268468579717
24,0.722524727600633,0.05761173867500771,0.8620536576110609,0.0025833425003275756,0.546689483196423,0.13742299763997673,0.2489654875155786,0.010088947357777227
25,0.7233377440415564,0.05820377926247943,0.86430151235028,0.003525362951287641,0.557909883491026,0.14957024798120952,0.2425503019028997,0.01019214836746232
26,0.7169312171120248,0.05398139006831025,0.8668585574015844,0.004121138238418451,0.5655859784874716,0.14583484162690033,0.23970589708766643,0.007585272929903865
27,0.7224428967694199,0.04769225509430096,0.8702565550586246,0.005597125004961753,0.5751802860206285,0.1664275625465386,0.2353752477392367,0.008338237116316217
28,0.7170904059011317,0.05555357224339505,0.8740545580094204,0.0110675527347852,0.5871830902421445,0.18485268625136453,0.2304332115631636,0.011789712435834071
29,0.716031917209311,0.056692288621315416,0.8783196239274981,0.012253112191505246,0.5882954472091408,0.18518425478337133,0.22119556368357265,0.017351830360517472
30,0.7161865918113648,0.060286664302169966,0.8852621176663575,0.009455333960602472,0.6028577100137053,0.19020442323691622,0.2098086956346891,0.015018834083622078
31,0.7161286254728878,0.062476102908644575,0.8873588299747952,0.013632297999785771,0.6085376029788765,0.18655276903441098,0.20136504190545326,0.01779078888145164
32,0.7141008228491549,0.059639344683166035,0.8922801789746844,0.013455478539960758,0.6081400582713385,0.18530084912581862,0.19516810199642037,0.021271094063879437
33,0.7222314555206033,0.052917044561598875,0.9001478173707307,0.011076297789466562,0.612078527489001,0.18353292983833394,0.18828987927654298,0.02239239654167842
34,0.7172169121448937,0.05735939031518788,0.9061793880181357,0.011012635893889632,0.6295754169387193,0.1887132686775764,0.17687255710496347,0.023259862300193845
35,0.7172747533592251,0.06017616505284649,0.9122555082495933,0.007657968587848519,0.6389611297062076,0.19352702894595442,0.1679179402130763,0.015581432214133332
36,0.7194788850662948,0.06222206282964545,0.9175527521217866,0.0084351693682233,0.6305691564257105,0.18983384488631996,0.15834320809083496,0.01933902390964211
37,0.7240599930749184,0.051495848541052734,0.9216417459311635,0.010442590182979135,0.6426880938809125,0.19504805730960495,0.1456571376298336,0.01831164145190972
38,0.715874251759406,0.05797057101859118,0.9249757276512864,0.012278276392566375,0.6472216914207605,0.20478849868533117,0.1394355834050539,0.021028900769929776
39,0.7126032128780724,0.05412083215128113,0.9301636626283833,0.015178257810230293,0.6660155271080936,0.21220649290139723,0.1312284345980313,0.021078584006672087
40,0.7154097282338361,0.05642261323535033,0.9392191566317027,0.014620153174837777,0.6734011282810772,0.2194719189540511,0.12102939747361541,0.021725330140631438
41,0.7142540470829258,0.05690786036678597,0.9408595015237889,0.014863575191628639,0.6903284439176439,0.2422760099130587,0.11549213512037974,0.021624769500926528
42,0.7174326465005828,0.05924798954147698,0.9471643137812713,0.013213971734804002,0.7004632493354563,0.25931297976983436,0.10741647384943467,0.01848342146623737
43,0.7129573876794811,0.05438258662972739,0.9510457246802433,0.012930369179848578,0.7132155995668381,0.26606321686690293,0.10101278345921794,0.018445988910584514
44,0.7115939663391784,0.05860686855482397,0.9552967102457158,0.014301479926874366,0.7211602909513881,0.2654596262536032,0.09639206787398423,0.017910004005960805
45,0.705823990771495,0.05663077681724059,0.9598573012774312,0.013833813692741658,0.7531253658021904,0.2641841058379165,0.0896811550670505,0.01780779920372338
46,0.7007114471298594,0.057370193740474265,0.9633147949503542,0.010303756645305268,0.766217699237079,0.2827607968562747,0.08508276059868498,0.016511544529113582
47,0.7034813758279449,0.05738382315978715,0.9645442375403208,0.010056048921066148,0.7751584860809814,0.2831482900528888,0.08074149018849633,0.015510549371714817
48,0.7075215468670265,0.05519534669249663,0.9675944595009686,0.01018522290217484,0.7787726513601438,0.2877283924576564,0.07601137932618332,0.01642503436644962
49,0.7083509218883306,0.05654829379582351,0.9713491426646748,0.010478125494469692,0.7873432031375986,0.2880922681700165,0.07210013542972553,0.016856416617089056
50,0.7103486452810722,0.05307977103900396,0.973237779448285,0.011321030095655781,0.789857894128031,0.2919548387502742,0.0694007368104026,0.01580185563365633
51,0.7082227482275062,0.05707391197877377,0.976596403264016,0.0073891911211012296,0.7925968789907626,0.29607507130538396,0.064845292483898,0.011626036358730918
52,0.7093242234463297,0.0615993702394263,0.9781248102016475,0.005556661183887407,0.8013852936053553,0.30466111480449926,0.061551040816164235,0.011499072049834948
53,0.7053039181509543,0.059958844320042004,0.9785041134380936,0.005428478158735519,0.810116244792358,0.3079273219830643,0.05781464890874932,0.010883797105565446
