iter	F1	Logloss
0	0.7163561077	0.5517514685
1	0.7579365079	0.455166222
2	0.7459677419	0.4281708195
3	0.7426160338	0.4022399946
4	0.7296703297	0.4008219414
5	0.7835051546	0.351251538
6	0.7983706721	0.3351804342
7	0.8	0.3329979176
8	0.8170731707	0.3218163092
9	0.8196721311	0.3214308333
10	0.8132780083	0.3160429786
11	0.825203252	0.3069873686
12	0.825203252	0.3054719505
13	0.8228105906	0.2948942521
14	0.8376753507	0.2779841722
15	0.8429423459	0.2766359022
16	0.8475247525	0.2740753677
17	0.8452380952	0.2686232004
18	0.8452380952	0.2669668582
19	0.8423153693	0.2652224069
20	0.8492063492	0.2641285893
21	0.8531746032	0.2632300309
22	0.8531746032	0.2605185451
23	0.8571428571	0.2550115991
24	0.8616600791	0.2500596538
25	0.8616600791	0.2500573475
26	0.8633663366	0.2467460935
27	0.8656126482	0.2463368726
28	0.8633663366	0.2459706944
29	0.8633663366	0.2459704251
30	0.8767123288	0.2316658186
31	0.8695652174	0.2301008506
32	0.8695652174	0.2292724878
33	0.8806262231	0.2255922319
34	0.8871595331	0.2163090206
35	0.9034749035	0.1948487003
36	0.905950096	0.1911137964
37	0.9118773946	0.177503616
38	0.9142857143	0.1749002254
39	0.9122137405	0.1662848501
40	0.9204545455	0.1571355649
41	0.9204545455	0.1514118969
42	0.9283018868	0.1377220053
43	0.9300567108	0.1330203098
44	0.9320754717	0.1272229448
45	0.9378531073	0.1191569618
46	0.9473684211	0.1138307737
47	0.9495327103	0.1078640209
48	0.953271028	0.1048051503
49	0.9550561798	0.101438848
50	0.9570093458	0.09671724683
51	0.9662921348	0.08499130187
52	0.9701492537	0.0814021077
53	0.9701492537	0.07645264301
54	0.9739776952	0.07276450461
55	0.9758812616	0.06899930112
56	0.9758812616	0.06700514577
57	0.9758812616	0.06492921599
58	0.9815498155	0.06108645819
59	0.9815498155	0.0595715171
60	0.9815498155	0.05815525965
61	0.9815498155	0.05743030078
62	0.9815498155	0.0557970287
63	0.9852941176	0.04895859069
64	0.9852941176	0.04766271158
65	0.9871559633	0.04418746607
66	0.9871559633	0.04213631753
67	0.9871559633	0.04144415411
68	0.989010989	0.04011588041
69	0.9908592322	0.03750456251
70	0.9908592322	0.03657770639
71	0.9908592322	0.03572069687
72	0.9908592322	0.0335117672
73	0.9908592322	0.03194942817
74	0.9908592322	0.03061405438
75	0.9908592322	0.03037924965
76	0.9908592322	0.02985520015
77	0.9908592322	0.02844406813
78	0.9908592322	0.02796138102
79	0.9908592322	0.02753936883
80	0.9908592322	0.02718018706
81	0.9908592322	0.02647840056
82	0.9908592322	0.02566446172
83	0.9908592322	0.02522942229
84	0.9908592322	0.02483992275
85	0.9908592322	0.02437293963
86	0.9908592322	0.02377637555
87	0.9908592322	0.02319426105
88	0.9908592322	0.02299416539
89	0.9908592322	0.02210454916
90	0.9908592322	0.02135376157
91	0.9908592322	0.02106025749
92	0.9908592322	0.01989459237
93	0.9908592322	0.01973427669
94	0.9908592322	0.0192758656
95	0.9908592322	0.01856285016
96	0.9908592322	0.01845608918
97	0.9908925319	0.01804977088
98	0.9908925319	0.01791059574
99	0.9908592322	0.01762883005
100	0.9908592322	0.01698873188
101	0.9908592322	0.0164111641
102	0.9908592322	0.01593215584
103	0.9908592322	0.01588534911
104	0.9908592322	0.01565075943
105	0.9908592322	0.01548997898
106	0.9908592322	0.01541799591
107	0.9908592322	0.01527663011
108	0.9908592322	0.01506363097
109	0.9908925319	0.01483693417
110	0.9908925319	0.014698424
111	0.9908925319	0.01459752079
112	0.9908592322	0.01440187402
113	0.9908592322	0.0143687152
114	0.9908925319	0.0142812983
115	0.9908925319	0.01415815081
116	0.9908592322	0.01385147757
117	0.9908592322	0.01378287542
118	0.9908592322	0.01375460058
119	0.9908592322	0.0134861946
120	0.9908592322	0.01344348474
121	0.9908925319	0.01318821633
122	0.9908925319	0.01310083944
123	0.9908925319	0.01302578288
124	0.9908925319	0.01296644804
125	0.9908925319	0.01284789512
126	0.9908925319	0.01280253826
127	0.9908925319	0.01262840913
128	0.9908925319	0.01259212697
129	0.9908925319	0.01253800902
130	0.9908925319	0.01249711176
131	0.9908925319	0.01238021277
132	0.9908925319	0.01232233941
133	0.9908925319	0.01221500301
134	0.9908925319	0.01213932658
135	0.9908925319	0.01210899583
136	0.9908925319	0.01206881321
137	0.9908925319	0.01203865381
138	0.9908925319	0.01202535504
139	0.9908925319	0.01196464318
140	0.9908925319	0.01192836605
141	0.9908925319	0.01192835001
142	0.9908592322	0.01180315862
143	0.9908925319	0.01172864101
144	0.9908925319	0.01168272719
145	0.9908925319	0.01168271239
146	0.9908925319	0.01163999027
147	0.9908925319	0.0116021662
148	0.9908925319	0.01158647056
149	0.9908925319	0.01157346392
150	0.9908925319	0.01153108932
151	0.9908925319	0.01150941599
152	0.9908925319	0.01148771517
153	0.9908925319	0.01147111914
154	0.9908925319	0.01142970026
155	0.9908925319	0.01141501149
156	0.9908925319	0.0113975577
157	0.9908925319	0.01138599123
158	0.9908925319	0.01138599123
159	0.9908925319	0.01137012436
160	0.9908925319	0.01135580816
161	0.9908925319	0.01133073934
162	0.9908925319	0.01133072988
163	0.9908925319	0.01133072988
164	0.9908925319	0.01131647697
165	0.9908925319	0.01129983329
166	0.9908925319	0.01128430224
167	0.9908925319	0.01128430224
168	0.9908925319	0.01128430224
169	0.9908925319	0.01128430224
170	0.9908925319	0.01128427865
171	0.9908925319	0.01128427865
172	0.9908925319	0.01128427865
173	0.9908925319	0.01128427865
174	0.9908925319	0.011284272
175	0.9908925319	0.01128426614
176	0.9908925319	0.01128426614
177	0.9908925319	0.01127225434
178	0.9908925319	0.01127225434
179	0.9908925319	0.01127225434
180	0.9908925319	0.01127223781
181	0.9908925319	0.01125973932
182	0.9908925319	0.01123893971
183	0.9908925319	0.01123893971
184	0.9908925319	0.01122295901
185	0.9908925319	0.01122295901
186	0.9908925319	0.01122295901
187	0.9908925319	0.01122295901
188	0.9908925319	0.01121520913
189	0.9908925319	0.01121520913
190	0.9908925319	0.01121520913
191	0.9908925319	0.01121519648
192	0.9908925319	0.01121519648
