iter	Passed	Remaining
0	63	12262
1	73	6990
2	80	5083
3	84	4007
4	86	3265
5	93	2900
6	97	2577
7	100	2313
8	104	2141
9	109	2012
10	111	1851
11	118	1792
12	124	1723
13	126	1622
14	128	1527
15	133	1478
16	141	1469
17	148	1444
18	153	1404
19	157	1358
20	163	1340
21	166	1293
22	179	1325
23	189	1332
24	192	1295
25	201	1291
26	204	1254
27	211	1248
28	215	1219
29	226	1232
30	234	1225
31	241	1214
32	248	1204
33	258	1206
34	261	1181
35	268	1169
36	273	1155
37	283	1157
38	296	1170
39	312	1193
40	323	1197
41	334	1203
42	342	1194
43	349	1182
44	354	1164
45	360	1152
46	366	1138
47	372	1124
48	377	1109
49	385	1103
50	396	1102
51	400	1085
52	406	1073
53	416	1071
54	422	1059
55	432	1058
56	446	1064
57	462	1075
58	468	1065
59	473	1049
60	478	1036
61	484	1023
62	490	1011
63	502	1013
64	513	1010
65	527	1015
66	537	1010
67	567	1043
68	595	1069
69	603	1060
70	628	1079
71	634	1066
72	657	1081
73	685	1101
74	697	1097
75	714	1100
76	732	1103
77	749	1104
78	769	1110
79	800	1130
80	810	1120
81	817	1106
82	823	1091
83	830	1077
84	836	1063
85	843	1049
86	850	1035
87	856	1022
88	881	1030
89	897	1027
90	902	1012
91	907	996
92	913	982
93	918	967
94	923	952
95	928	938
96	933	923
97	938	909
98	945	897
99	951	884
100	955	870
101	960	857
102	965	843
103	970	830
104	975	817
105	980	804
106	987	793
107	994	782
108	1001	771
109	1009	761
110	1017	751
111	1026	742
112	1033	731
113	1040	720
114	1049	711
115	1056	701
116	1063	690
117	1070	680
118	1077	670
119	1087	661
120	1098	653
121	1106	644
122	1113	633
123	1120	623
124	1139	619
125	1154	613
126	1158	602
127	1164	591
128	1169	580
129	1172	568
130	1178	557
131	1185	547
132	1205	543
133	1211	533
134	1216	522
135	1228	514
136	1235	504
137	1242	495
138	1257	488
139	1288	487
140	1310	483
141	1320	474
142	1325	463
143	1328	452
144	1331	440
145	1334	429
146	1337	418
147	1341	407
148	1343	396
149	1347	386
150	1349	375
151	1353	365
152	1355	354
153	1358	344
154	1361	333
155	1364	323
156	1369	313
157	1375	304
158	1382	295
159	1386	286
160	1392	276
161	1398	267
162	1403	258
163	1408	249
164	1413	239
165	1418	230
166	1422	221
167	1425	212
168	1428	202
169	1433	193
170	1436	184
171	1440	175
172	1442	166
173	1445	157
174	1448	148
175	1451	140
176	1453	131
177	1457	122
178	1460	114
179	1462	105
180	1466	97
181	1468	88
182	1472	80
183	1475	72
184	1479	63
185	1482	55
186	1485	47
187	1489	39
188	1492	31
189	1496	23
190	1498	15
191	1501	7
192	1504	0
