iter	Logloss
0	0.5998754268
1	0.5498168383
2	0.5026338359
3	0.4759890839
4	0.4518024667
5	0.4326636047
6	0.4290063825
7	0.4133393998
8	0.4056845418
9	0.4003242122
10	0.3892447079
11	0.3789408151
12	0.3765870885
13	0.3705761508
14	0.3673201226
15	0.3584469614
16	0.3557236268
17	0.3490388103
18	0.3490382743
19	0.3483997578
20	0.3481093918
21	0.3461527234
22	0.3448706432
23	0.3410796097
24	0.3407815946
25	0.3367227788
26	0.3331347804
27	0.3294438146
28	0.3213905158
29	0.3158362048
30	0.3143139052
31	0.3109263867
32	0.3018409178
33	0.301815483
34	0.295857941
35	0.2958576188
36	0.2873994619
37	0.2830108617
38	0.2790850069
39	0.26258654
40	0.2525334606
41	0.2481536485
42	0.2381251634
43	0.2356451366
44	0.2303679785
45	0.2261361664
46	0.2245653857
47	0.2228635356
48	0.2201504274
49	0.2156677841
50	0.2105624775
51	0.2073258525
52	0.2029804081
53	0.2009566137
54	0.19553877
55	0.1916187538
56	0.1887022077
57	0.1866985173
58	0.1811694297
59	0.1755733064
60	0.1733502528
61	0.1682506716
62	0.1662825942
63	0.1619792266
64	0.1599459151
65	0.1572435417
66	0.1532467231
67	0.1513425866
68	0.1497393475
69	0.1459927834
70	0.1430381471
71	0.1408028065
72	0.1361651798
73	0.134726102
74	0.1329260506
75	0.1292944308
76	0.1275358961
77	0.1245205368
78	0.1212245535
79	0.1189257025
80	0.1170177347
81	0.1162542463
82	0.1139500447
83	0.1115550489
84	0.1082071622
85	0.1064695505
86	0.104302895
87	0.103903265
88	0.102464182
89	0.1013665081
90	0.1002297218
91	0.09850950416
92	0.0968917145
93	0.09628182165
94	0.09466628388
95	0.09325448138
96	0.09027124737
97	0.08921016639
98	0.08794686868
99	0.08698170021
100	0.08537694173
101	0.08463094141
102	0.0835523873
103	0.08282397339
104	0.08137167641
105	0.08064323501
106	0.0802918498
107	0.07937379379
108	0.07853171333
109	0.07784092368
110	0.07626961767
111	0.07547419171
112	0.07389034901
113	0.07302326717
114	0.07212637228
115	0.07077933086
116	0.07035422202
117	0.06938290444
118	0.06872668171
119	0.06773968829
120	0.06738447135
121	0.06690992951
122	0.06648106878
123	0.0655717864
124	0.06460929116
125	0.06350030665
126	0.06293690656
127	0.06169078361
128	0.06088293338
129	0.06013310542
130	0.05977827221
131	0.05882841386
132	0.0584169623
133	0.05785982949
134	0.05721086617
135	0.05704054858
136	0.05633237928
137	0.05587645913
138	0.0551716054
139	0.05424249265
140	0.05380702023
141	0.05289180204
142	0.0523169112
143	0.05170456669
144	0.05127147504
145	0.05079542472
146	0.05049621777
147	0.04966626569
148	0.04925581269
149	0.04856674165
150	0.04813012246
151	0.04749501763
152	0.04678183854
153	0.04605789761
154	0.04553174425
155	0.04511013257
156	0.04424849979
157	0.04368521776
158	0.04334136333
159	0.04268800056
160	0.04206992327
161	0.04138374509
162	0.04106290032
163	0.04051943573
164	0.03986853019
165	0.03947111297
166	0.03898975821
167	0.03881481679
168	0.03799196403
169	0.03755532076
170	0.03721143187
171	0.03708485118
172	0.0368500959
173	0.03647086218
174	0.03629969636
175	0.03616705207
176	0.03586846589
177	0.03537998204
178	0.03516785174
179	0.03500032539
180	0.03466793929
181	0.03446058215
182	0.03394752708
183	0.03348988288
184	0.03327006579
185	0.03300897704
186	0.03261917743
187	0.03228829343
188	0.03203687782
189	0.03185833886
190	0.03164213955
191	0.03149333819
192	0.03130600378
